code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
000001,平安银行,银行,深圳,7.31,1180405.5,1430867.63,257050800,0,369000,5932600,4.15,0.84,10.54,1.12,19910403
000002,万  科Ａ,全国地产,深圳,16.21,971771.56,1104805.75,53693768,48999152,376758.91,832910.63,0.75,0.439,7.9,1.8,19910129
000004,国农科技,生物制药,深圳,905.17,8387.54,8397.66,34866.01,27242.49,3879.12,66.45,0.01,0.014,0.97,26.93,19910114
000005,世纪星源,区域地产,深圳,0,91374.29,91433.35,134159.73,22245.8,2536.1,26976.98,0.3,-0.025,0.71,8.32,19901210
000006,深振业Ａ,区域地产,深圳,24.66,134148.73,134999.5,1177059.88,953584.13,368.26,48432.15,0.36,0.191,3.14,3.01,19920427
000007,零七股份,酒店餐饮,深圳,0,20588.71,23096.53,52609.05,31310.49,7468.37,42324.12,1.83,-0.032,1.51,19.36,19920413
000008,神州高铁,综合类,深圳,117.66,21359.4,80314.42,327846.84,136491.92,42377.51,192500.55,2.4,0.087,3.47,5.9,19920507
000009,中国宝安,全国地产,深圳,65.87,148966.91,159210.73,1534307.5,1017441.31,168079.13,51620.25,0.32,0.074,2.35,4.18,19910625
000010,深华新,建筑施工,北京,1090.76,35815.75,58806.98,188770.95,67797.88,4401.43,12939,0.22,0.003,0.93,6.47,19951027
000011,深物业A,区域地产,深圳,82.04,17586.25,59597.91,375656.88,305899.88,7110.31,11995.15,0.2,0.052,3.31,2.59,19920330
000012,南  玻Ａ,玻璃,深圳,44.53,130255.21,207533.56,1532177.5,167878.86,986040.19,126095.81,0.61,0.099,3.62,2.44,19920228
000014,沙河股份,全国地产,深圳,109.17,20170.51,20170.51,212902.91,192287.13,2156.65,996.57,0.05,0.072,3.35,4.71,19920602
000016,深康佳Ａ,家用电器,深圳,0,59991.5,120397.27,1613279.88,1254657.25,175997.06,129187.72,1.07,-0.247,3.15,9.56,19920327
000017,深中华A,文教休闲,深圳,5704.28,30297.88,55134.78,5630.58,5110.05,105.18,62783.42,1.14,0.001,0.02,385.33,19920331
000018,中冠A,纺织,深圳,0,9972.04,16914.24,17323.35,6445.16,114.51,3939.15,0.23,-0.004,0.77,24.59,19920616
000019,深深宝Ａ,软饮料,深圳,232.43,25225.24,30108.01,110760.47,50343.43,38728.65,51818.64,1.72,0.018,3.24,2.53,19921012
000020,深华发Ａ,元器件,深圳,128.43,6467.54,28316.11,117277.86,89046.46,19419.28,10949.67,0.39,0.05,1.04,12.32,19920428
000021,深科技,电脑设备,深圳,42.46,146981.44,147125.94,1431806.75,1084877.38,142943.23,69671.27,0.47,0.094,3.56,2.25,19940202
000022,深赤湾Ａ,港口,深圳,35.13,46486.73,64476.37,671161.06,61413.25,322338.03,16269.85,0.25,0.375,6.44,4.1,19930505
000023,深天地Ａ,建筑施工,深圳,196.34,13875.62,13875.62,145998.92,130420.27,11728.42,10252.63,0.74,0.078,2.65,11.52,19930429
000024,招商地产,全国地产,深圳,18.99,102641.64,257595.06,16880926,15599496,178590.06,889169.63,3.45,0.833,12.72,2.49,19930607
000025,特  力Ａ,汽车服务,深圳,415.79,17929.46,29728.16,114397.47,43726.55,13973.1,56419.26,1.9,0.026,2.8,7.64,19930621
000026,飞亚达Ａ,其他商业,深圳,23.77,31107,39276.78,382085,280158.22,36787.03,52550.81,1.34,0.186,4.26,2.08,19930603
000027,深圳能源,火力发电,深圳,18.89,143752.5,396449.16,4877652.5,1519723.38,1530528.63,431470.25,1.09,0.259,5.58,1.75,19930903
000028,国药一致,医药商业,深圳,27.76,23326.17,36263.19,1381265.63,1196423.38,71104.05,186389.45,5.14,1.068,14.01,4.23,19930809
000029,深深房Ａ,区域地产,深圳,27.92,89166,101166,446255.59,386676.97,5078.18,97824.49,0.97,0.184,2.32,4.43,19930915
000030,富奥股份,汽车配件,吉林,19.35,56056.17,129325.14,733050.06,338260.63,132692.47,52170.23,0.4,0.223,3.44,2.51,19930929
000031,中粮地产,全国地产,深圳,73.74,181372.02,181373.16,4955406,4418432,57702,27988.26,0.15,0.108,3.15,5.07,19931008
000032,深桑达Ａ,元器件,深圳,0,23286.32,23286.42,129097.51,76735.77,5722.49,20723.75,0.89,-0.015,3.76,3.3,19931028
000034,深信泰丰,综合类,深圳,74.67,34006.42,35797.35,44637.65,24746.42,5695.68,64072.68,1.79,0.064,0.53,18.05,19940509
000035,中国天楹,通信设备,江苏,53.77,35362.69,61927.89,397917.28,68817.88,71891.18,94385.43,1.52,0.108,4.74,2.44,19940408
000036,华联控股,全国地产,深圳,0,112388.02,114048.77,543445.69,441307.41,28780.1,15546.49,0.14,-0.014,1.7,3.5,19940617
000037,深南电Ａ,火力发电,深圳,0,33889.51,60276.26,514827.5,314164,180716.17,36275.07,0.6,-0.17,1.94,3.49,19940701
000038,深大通,区域地产,深圳,0,2803.19,9622.79,63186.73,62300.03,6.17,2234.82,0.23,-0.009,1.13,22.83,19940808
000039,中集集团,轻工机械,深圳,18.2,125597.1,268708.5,9559349,4754012.5,1900928.25,86361.6,0.32,0.565,9.34,2.2,19940408
000040,宝安地产,全国地产,深圳,110.19,46458.83,46959.33,421361.69,389969.31,6924.57,27375.21,0.58,0.044,2.74,3.53,19940808
000042,中洲控股,全国地产,深圳,7.64,47879.07,47892.6,2052834.38,1657580.13,17929.82,58488.8,1.22,0.874,7.61,1.75,19940921
000043,中航地产,全国地产,深圳,0,66696.14,66696.14,2230940,1672104.38,14395.57,44666.5,0.67,-0.167,4.99,1.6,19940928
000045,深纺织Ａ,纺织,深圳,292.96,40556.39,50652.17,281181.53,167494.5,79165.5,158513,3.13,0.015,4.29,2.07,19940815
000046,泛海控股,全国地产,深圳,41.51,454933.41,455731.19,10111917,8792317,56080.71,204942.05,0.45,0.145,2.18,5.52,19940912
000048,康达尔,饲料,深圳,31.63,38606.83,39076.87,208751.05,140158.94,34974.19,4269.85,0.11,0.369,1.69,13.78,19941101
000049,德赛电池,电气设备,深圳,32.82,20524.36,20524.36,326852.78,297849.25,16308.05,816.93,0.04,0.56,3.98,9.25,19950320
000050,深天马Ａ,元器件,深圳,29.91,57422.05,113173.84,1788467,744936.56,730091.25,696756.06,6.16,0.227,7.32,1.86,19950315
000055,方大集团,其他建材,深圳,43.66,42017.94,75690.99,404475.84,305815.88,48320.89,7909.92,0.1,0.068,1.67,3.55,19960415
000056,深国商,房产服务,深圳,349.3,14305.55,26508.14,789204.56,13228.85,5848.73,2430.87,0.09,0.03,7.2,2.89,19960708
