,mbrg,nprg,nav,targ,code,name,exchage,eps,holderInterests,epsLastYear,holderInterestsLastYear,epsg,seg
0,14024.1407,101967.6042,3661.3769,7437.3744,703,恒逸石化,CNSESZ,3.71,5435446699,0.02,189896036,18450,2762.3276
1,--,101461.6931,63158.5468,113756.1558,620,新华联,CNSESZ,0.41,2464132725,0.0019,3962160.18,21478.9474,62091.6483
2,70159.2111,63322.8975,23752.433,41575.4244,600094,大名城,CNSESH,0.4608,2182022069,0.0033,13434180.08,13863.6364,16142.3167
3,2983.7949,57664.278,1359.3372,7483.8778,600340,华夏幸福,CNSESH,2.31,2786386790,0.02,274702427.4,11450,914.3291
4,--,37635.5925,414803.4781,471961.1891,719,大地传媒,CNSESZ,0.33,1528241026,0.003,377331.05,10900,404913.3235
5,5.8902,36998.5588,--,-9.0323,600155,宝硕股份,CNSESH,5.25,-474675393.4,0.01,-2637494188,52400,-82.0028
6,840.0946,29501.7125,1450.7592,1341.6705,809,铁岭新城,CNSESZ,2.32,2107806227,0.025,132153767.3,9180,1494.9649
7,234.312,17426.8021,2962.6696,1352.289,415,渤海租赁,CNSESZ,0.4311,7072153614,0.01,258374621.5,4211,2637.1704
8,5029.8773,17199.8864,814.3312,583.0112,603,盛达矿业,CNSESZ,0.88,581246350.5,0.02,76136580.99,4300,663.4259
9,3811.9692,15508.6069,1562.0504,2807.8739,600403,大有能源,CNSESH,1.56,4863410626,0.0399,319718922.9,3809.7744,1421.1519
10,34945.6159,12128.4483,800.732,4161.129,981,银亿股份,CNSESZ,0.79,3018198736,0.04,365574431.3,1875,725.6044
11,211.9534,10379.9714,865.2026,623.9243,600633,浙报传媒,CNSESH,0.66,915811485.1,0.016,116488674.8,4025,686.1807
12,1618.8207,6311.573,2383.1103,1027.9193,600401,*ST海润,CNSESH,0.516,2797656382,0.03,113503597.8,1620,2364.8174
13,46102.6148,4566.2741,--,2691.4458,863,三湘股份,CNSESZ,0.42,928888843.5,0.03,-1024551109,1300,-190.663
14,1488305.946,4355.1376,1069.7333,7838.2784,656,金科股份,CNSESZ,0.92,5195873129,0.1,462767989.1,820,1022.7814
15,15.8172,4119.2596,17.8903,19.1662,600251,冠农股份,CNSESH,0.45,978014966.8,0.02,815124947,2150,19.9834
16,1149.3783,3329.4431,42.2972,-13.9036,600687,刚泰控股,CNSESH,0.71,303841550.1,0.016,213487835.5,4337.5,42.3227
17,605.6413,2784.2932,950.5383,2763.3958,600077,宋都股份,CNSESH,0.78,1803643403,0.07,291971554.9,1014.2857,517.7463
18,642.1898,1632.2655,13.224,69.7697,600575,皖江物流,CNSESH,0.32,2843613737,0.05,2511493531,540,13.224
19,-3.7701,1535.6217,-3.859,-4.3804,600093,禾嘉股份,CNSESH,0.067,347132009.7,0.008,331840828.9,737.5,4.608
20,27.9063,1440.6764,7.6024,5.9055,600775,南京熊猫,CNSESH,0.168,1587039947,0.01,1476137181,1580,7.513
21,38.2959,1428.3818,23.7278,7.3257,600802,福建水泥,CNSESH,0.327,1180709421,0.021,1109843843,1457.1429,6.3852
22,6.4777,1332.7352,-12.4824,-2.5199,600287,江苏舜天,CNSESH,0.084,861240794.8,0.0558,882721991,50.5376,-2.4335
23,121.0467,1119.4772,12.7661,-12.6673,546,金圆股份,CNSESZ,0.1159,144738546,0.0132,127386584.4,778.0303,13.6215
24,157.3358,1088.8655,92.4345,176.1569,600780,通宝能源,CNSESH,0.3253,3232973178,0.0355,1683063122,816.338,92.0886
25,290.5304,1037.4637,131.0547,188.9555,600723,首商股份,CNSESH,0.525,2259220057,0.097,1130482660,441.2371,99.8456
26,18.4838,1012.0307,1.3002,-0.5959,600726,华电能源,CNSESH,0.004,3398226431,0.02,3388522595,-80,0.2864
27,84.9258,968.9444,43.6732,9.7882,795,太原刚玉,CNSESZ,0.41,357825563.2,0.04,245225493.2,925,45.917
28,4088.5307,889.7341,3.4294,2.8379,600555,九龙山,CNSESH,0.06,1798388889,0.01,1755147401,500,2.4637
29,-59.1587,861.1556,17.2174,11.0816,600159,大龙地产,CNSESH,0.33,1867350380,0.03,1590971666,1000,17.3717
30,52.4842,771.5864,90.4918,22.1909,600636,三爱富,CNSESH,2.107,1530089116,0.122,782607374.8,1627.0492,95.5117
31,191.5702,761.673,42.829,33.3227,2033,丽江旅游,CNSESZ,0.71,764468505.1,0.09,602221788.6,688.8889,26.9414
32,152.6922,755.1483,143.4686,98.8723,600803,新奥股份,CNSESH,0.09,776149306.5,0.02,342967113.5,350,126.3043
33,96.1397,747.5266,18.108,-3.7278,593,大通燃气,CNSESZ,0.229,333135203.1,0.027,281912474.2,748.1481,18.1697
34,65.8227,741.172,-12.0722,-16.2598,633,合金投资,CNSESZ,0.0178,218626802,0.0083,222351789.6,114.4578,-1.6753
35,7.7426,737.9855,22.8965,21.1792,2034,美欣达,CNSESZ,0.99,496609362,0.1,416692302.4,890,19.1789
36,13204.7235,731.0558,7.0972,7.1244,681,视觉中国,CNSESZ,0.03,138434085.4,0.003,129077762.2,900,7.2486
37,25.8129,664.3828,6.0949,12.1109,2274,华昌化工,CNSESZ,0.31,1391590934,0.04,1311458363,675,6.1102
38,13.9164,660.1842,1.223,7.9306,600456,宝钛股份,CNSESH,0.143,3645097783,0.008,3626429917,1687.5,0.5148
39,219.7428,607.4368,539.7129,274.2462,935,四川双马,CNSESZ,0.26,1934949686,0.11,458868912,136.3636,321.6781
40,809.4128,564.9473,387.264,690.3974,2204,大连重工,CNSESZ,2.12,5924022494,0.64,1165511167,231.25,408.2768
41,38.8541,535.6688,-9.8077,14.4039,707,双环科技,CNSESZ,0.762,2064665584,0.137,1902653433,456.2044,8.5151
